route_number,route_id
6296,9204-07
6400,9204-08
639,9205-01
640,9205-02
641,9205-03
6301,9205-05
6303,9205-06
7803,9205-07
3395,9205-08
643,9206-01
644,9206-02
1038,9206-03
3396,9206-04
4737,9206-05
6304,9206-06
646,9207-01
3397,9207-02
648,9208-01
649,9208-02
1031,9208-03
2615,9208-04
3398,9208-05
3400,9208-06
6305,9208-07
6306,9208-08
6307,9208-09
651,9209-01
3315,9209-02
6308,9209-03
7804,9209-04
653,9210-01
3401,9210-02
6309,9210-03
7818,9210-04
655,9211-01
3403,9211-02
6310,9211-03
7819,9211-04
657,9212-01
658,9212-02
888,9214-01
3405,9214-02
3541,9214-03
6311,9214-04
6401,9214-05
660,9250-02
1010,9250-03
3007,9250-04
6463,9250-05
6518,9250-06
662,9401-01
753,9402-01
1213,9402-02
6313,9402-03
664,9403-01
665,9403-02
1065,9403-03
3406,9403-04
3408,9403-05
6314,9403-07
667,9404-01
3335,9404-02
6315,9404-03
669,9405-01
1295,9405-02
3409,9405-03
3734,9405-04
6316,9405-05
6440,9405-06
671,9407-01
672,9407-02
1077,9407-03
1078,9407-04
3412,9407-05
3413,9407-06
6318,9407-07
6464,9407-08
674,9408-01
675,9408-02
3414,9408-03
6319,9408-04
677,9410-01
864,9410-02
3417,9410-03
6321,9410-04
7820,9410-05
679,9411-01
3378,9411-02
6098,9411-03
6322,9411-04
6465,9411-05
681,9412-01
682,9412-02
1006,9412-04
1008,9412-05
1009,9412-06
1007,9412-07
1012,9412-08
1013,9412-10
1041,9412-11
1042,9412-12
2834,9412-13
2835,9412-14
3380,9412-15
3594,9412-16
3595,9412-17
6323,9412-18
6324,9412-19
684,9414-01
3383,9414-02
3720,9414-03
5317,9414-04
6325,9414-05
6392,9414-06
7821,9414-07
6740,9415-01
7218,9415-02
686,9501-01
687,9501-02
688,9501-03
689,9501-05
1248,9501-07
6326,9501-08
6390,9501-09
691,9502-01
692,9502-02
693,9502-03
954,9502-04
3074,9502-05
6327,9502-06
6388,9502-07
7822,9502-08
695,9503-01
696,9503-02
1023,9503-03
2874,9503-04
6329,9503-05
698,9550-01
826,9550-02
6099,9550-03
700,9801-01
701,9801-02
6330,9801-03
703,9803-01
955,9803-02
1482,9803-03
6331,9803-04
705,9804-01
706,9804-02
959,9805-01
960,9805-02
3399,9805-03
6332,9805-04
5480,9850-01
3635,9999-01
3636,9999-02
3637,9999-03
3638,9999-04
5661,AC01-01
5663,AC02-01
5665,AC03-01
5667,AC04-01
5718,AC05-01
5720,AC06-01
5722,AC07-01
5724,AC08-01
5726,AC09-01
5728,AC10-01
5519,AC12-01
5521,AC13-01
5523,AC14-01
5526,AC15-01
5528,AC16-01
5530,AC17-01
5513,AC18-01
5511,AC19-01
5509,AC20-01
5507,AC21-01
5505,AC22-01
5503,AC23-01
5501,AC24-01
5499,AC25-01
5497,AC26-01
5328,CM02-01
5330,CM03-01
5326,CM04-01
5332,CM05-01
5334,CM06-01
5336,CM07-01
5338,CM08-01
5340,CM09-01
5342,CM10-01
1088,E002-01
1091,E006-01
1094,E008-01
1096,E018-01
1098,E024-01
1100,E026-01
1102,E027-01
1104,E034-01
1106,E037-01
1109,E038-01
1111,E043-01
1114,E046-01
1119,E048-01
1121,E049-01
1123,E050-01
1126,E051-01
1128,E052-01
1130,E053-01
1132,E055-01
1082,E060-01
1134,E061-01
1136,E063-01
1138,E065-01
1140,E066-01
1142,E068-01
1144,E069-01
1146,E072-01
1149,E073-01
1151,E074-01
1084,E076-01
1153,E078-01
1155,E079-01
1157,E081-01
1159,E082-01
1161,E085-01
5016,E087-01
1163,E094-01
1165,E098-01
1167,E099-01
1169,E100-01
1171,E101-01
1176,E104-01
1178,E105-01
1180,E106-01
1182,E107-01
